training files: data/train.en , data/train.es
testing  files: data/dev.en , data/dev.es
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'LBFGS', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.0', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
	ec: -43103.4218363
	ec: -43094.8464097
	ec: -43087.028141
	ec: -43080.4572648
	ec: -43075.7856635
	ec: -43071.6979842
73 log likelihood: -94075.0585437
	ec: -41458.0069134
	ec: -41466.7694609
	ec: -41456.5601606
74 log likelihood: -94072.7512401
	ec: -41403.1942571
	ec: -41459.8565241
	ec: -41402.7501953
75 log likelihood: -94072.0673406
	ec: -41396.6658419
	ec: -41409.1957975
	ec: -41395.6608196
76 log likelihood: -94070.6315966
	ec: -41374.923072
	ec: -41483.9940577
	ec: -41374.4725588
77 log likelihood: -94070.0276705
	ec: -41367.8207081
	ec: -41366.0836041
78 log likelihood: -94064.8363561
	ec: -41239.5965624
	ec: -41390.2724425
	ec: -41237.7265039
79 log likelihood: -94062.3248888
	ec: -41240.9748612
	ec: -41374.4460971
	ec: -41240.5580892
80 log likelihood: -94061.7680427
	ec: -41241.0877947
	ec: -41251.9661377
	ec: -41240.1982783
81 log likelihood: -94060.533267
	ec: -41228.4847789
	ec: -41345.7177998
	ec: -41228.0775991
82 log likelihood: -94059.9895829
	ec: -41223.2566591
	ec: -41228.6225587
	ec: -41222.0863985
83 log likelihood: -94058.375442
	ec: -41194.4425613
	ec: -41337.3780639
	ec: -41193.9338582
84 log likelihood: -94057.6979985
	ec: -41194.6282995
	ec: -41228.6231426
	ec: -41194.1804042
85 log likelihood: -94057.0952495
	ec: -41189.3632198
	ec: -41269.5117418
	ec: -41189.0763857
86 log likelihood: -94056.7102925
	ec: -41183.7844326
	ec: -41191.0579491
	ec: -41182.7701252
87 log likelihood: -94055.30079
	ec: -41166.1205674
	ec: -41292.9423602
	ec: -41165.6666156
88 log likelihood: -94054.6954311
	ec: -41160.9667484
	ec: -41183.9919168
	ec: -41160.4620048
89 log likelihood: -94054.0080396
	ec: -41148.2280298
	ec: -41260.594412
	ec: -41147.9342193
90 log likelihood: -94053.6158341
	ec: -41147.5886524
	ec: -41141.3499278
	ec: -41204.3918006
	ec: -41138.4566054
91 log likelihood: -94040.9613147
	ec: -40993.5182511
	ec: -41136.6171483
	ec: -40993.0360648
92 log likelihood: -94040.2371905
	ec: -40993.0915863
	ec: -41091.9005676
	ec: -40992.8507134
93 log likelihood: -94039.8521273
	ec: -40992.6151133
	ec: -41018.1073534
	ec: -40992.1899131
94 log likelihood: -94039.1397386
	ec: -40987.9855836
	ec: -41013.4752559
	ec: -40987.543751
95 log likelihood: -94038.4429492
	ec: -40975.856393
	ec: -41022.2392644
	ec: -40975.5682504
96 log likelihood: -94037.9902587
	ec: -40974.7878774
	ec: -40995.6231788
	ec: -40974.3211766
97 log likelihood: -94037.3391298
	ec: -40962.0755794
	ec: -41078.4055682
	ec: -40961.8231806
98 log likelihood: -94037.0005147
	ec: -40962.2556238
	ec: -40958.5596233
99 log likelihood: -94031.0691112
	ec: -40894.6436466
	ec: -41042.768037
	ec: -40894.2431799
100 log likelihood: -94030.4420254
	ec: -40889.6058343
	ec: -40998.7420637
	ec: -40889.3722984
101 log likelihood: -94030.0709308
	ec: -40884.9372255
	ec: -40916.2239433
	ec: -40884.5802171
102 log likelihood: -94029.4957062
	ec: -40875.3097814
	ec: -40898.9006996
	ec: -40874.9052721
103 log likelihood: -94028.8363952
	ec: -40870.8179098
	ec: -40911.2689052
	ec: -40870.5138967
104 log likelihood: -94028.3504943
	ec: -40863.1932831
	ec: -40875.0907452
	ec: -40862.573012
105 log likelihood: -94027.3653201
	ec: -40853.059484
	ec: -40955.9995989
	ec: -40852.836018
106 log likelihood: -94027.0371831
	ec: -40850.4757656
	ec: -40861.268277
	ec: -40849.8043349
107 log likelihood: -94025.9713715
	ec: -40831.8001986
	ec: -40931.883957
	ec: -40831.5825417
108 log likelihood: -94025.6398565
	ec: -40832.8812608
	ec: -40846.1242919
	ec: -40832.3097235
109 log likelihood: -94024.7109542
	ec: -40824.7745649
	ec: -40907.7847879
	ec: -40824.5564356
110 log likelihood: -94024.3738366
	ec: -40820.9086129
	ec: -40824.9493164
	ec: -40819.8746246
111 log likelihood: -94022.8146241
	ec: -40793.0903336
	ec: -40939.9930919
	ec: -40792.753501
112 log likelihood: -94022.3424981
	ec: -40794.9839287
	ec: -40849.2373062
	ec: -40794.743197
113 log likelihood: -94021.9735776
	ec: -40794.7146374
	ec: -40815.4856399
	ec: -40794.2931818
114 log likelihood: -94021.3984263
	ec: -40783.8824437
	ec: -40906.0140837
	ec: -40783.6483992
115 log likelihood: -94021.0871908
	ec: -40784.1245373
	ec: -40779.9651102
	ec: -40771.8851974
	ec: -40821.1958724
	ec: -40765.8197837
	ec: -40757.926436
	ec: -40755.4471598
116 log likelihood: -93966.8133625
	ec: -40257.783273
	ec: -40355.775321
	ec: -40257.574483
117 log likelihood: -93966.515734
	ec: -40257.9437083
	ec: -40271.6594305
	ec: -40257.4321874
118 log likelihood: -93965.7240942
	ec: -40246.4593189
	ec: -40351.9946813
	ec: -40246.2837735
119 log likelihood: -93965.4786862
	ec: -40245.19075
	ec: -40251.2271024
	ec: -40244.445049
120 log likelihood: -93964.3301146
	ec: -40225.5213731
	ec: -40360.2526367
	ec: -40225.3050159
121 log likelihood: -93964.0154713
	ec: -40227.050899
	ec: -40268.4055952
	ec: -40226.8304929
122 log likelihood: -93963.6662405
	ec: -40226.0404736
	ec: -40246.0909132
	ec: -40225.6841976
123 log likelihood: -93963.1353718
	ec: -40215.4499844
	ec: -40325.1054233
	ec: -40215.282129
124 log likelihood: -93962.9036403
	ec: -40216.2825587
	ec: -40218.9669866
	ec: -40215.2988064
125 log likelihood: -93961.3493342
	ec: -40199.9293843
	ec: -40347.6100801
	ec: -40199.6808663
126 log likelihood: -93960.984666
	ec: -40198.3612796
	ec: -40272.3313228
	ec: -40198.1915523
127 log likelihood: -93960.7192197
	ec: -40194.9538272
	ec: -40194.5756477
128 log likelihood: -93958.1875103
	ec: -40131.7043321
	ec: -40289.2001157
	ec: -40129.7617512
129 log likelihood: -93955.5736407
	ec: -40135.2271697
	ec: -40297.26196
	ec: -40134.8602226
130 log likelihood: -93955.0751863
	ec: -40137.3400244
	ec: -40221.0001289
	ec: -40137.1818419
131 log likelihood: -93954.847116
	ec: -40138.2620119
	ec: -40149.9409558
	ec: -40137.7837573
